training_exp,eval_exp,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,0,-0.0072,0.0
2,0,-0.0076,0.0
3,0,-0.0075,0.0
4,0,-0.0081,0.0
5,0,-0.008,0.0
6,0,-0.0076,0.0
7,0,-0.007,0.0
8,0,-0.0071,0.0
9,0,-0.006,0.0
